task_id,when_ready,when_running,when_waiting_retrieval,when_retrieved,when_done,worker_committed,worker_slot,time_commit_start,time_commit_end,time_input_mgr,size_input_mgr,time_worker_start,time_worker_end,time_output_mgr,size_output_mgr,when_input_sent,when_output_received,cores_requested,gpus_requested,memory_requested(MB),disk_requested(MB),retrieved_status,done_status,done_code,category
12,1716494676.650197,1716498027.761168,1716498035.934187,1716498035.943823,1716498035.943884,worker-cb7c6c4c5130033fdb68942b826bc325,57,1716498027.760681,1716498027.76114,0.000459,4.291534423828125e-05,1716498027.761236,1716498035.933439,0.002253,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
13,1716494676.651219,1716498081.713115,1716498090.82342,1716498090.83513,1716498090.835177,worker-cb7c6c4c5130033fdb68942b826bc325,34,1716498081.712631,1716498081.713087,0.000456,4.291534423828125e-05,1716498081.713169,1716498090.822853,0.001729,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
14,1716494676.652564,1716498028.410765,1716498036.424482,1716498036.430333,1716498036.4304,worker-cb7c6c4c5130033fdb68942b826bc325,9,1716498028.410317,1716498028.410737,0.00042,4.291534423828125e-05,1716498028.411654,1716498036.42365,0.001725,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
15,1716494676.653566,1716498029.634881,1716498038.169346,1716498038.177485,1716498038.177538,worker-cb7c6c4c5130033fdb68942b826bc325,23,1716498029.634394,1716498029.634852,0.000458,4.291534423828125e-05,1716498029.634952,1716498038.168728,0.00126,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
16,1716494676.654929,1716494740.939938,1716494744.689453,1716494744.691752,1716494744.691807,worker-cb7c6c4c5130033fdb68942b826bc325,32,1716494740.939451,1716494740.93991,0.000459,4.291534423828125e-05,1716494740.939999,1716494744.688867,0.00116,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
17,1716494676.656096,1716497916.709522,1716497925.135857,1716497925.141822,1716497925.141877,worker-cb7c6c4c5130033fdb68942b826bc325,6,1716497916.709007,1716497916.709493,0.000486,4.291534423828125e-05,1716497916.709583,1716497925.135231,0.00129,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
18,1716494676.657629,1716498081.006537,1716498089.457828,1716498089.467747,1716498089.467826,worker-cb7c6c4c5130033fdb68942b826bc325,32,1716498081.006031,1716498081.00651,0.000479,4.291534423828125e-05,1716498081.006619,1716498089.456934,0.001497,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
19,1716494676.6586,1716497907.743116,1716497916.254494,1716497916.267831,1716497916.267887,worker-cb7c6c4c5130033fdb68942b826bc325,40,1716497907.74264,1716497907.743089,0.000449,4.291534423828125e-05,1716497907.743194,1716497916.118161,0.002366,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
20,1716494676.659587,1716494694.992576,1716494704.826178,1716494704.829654,1716494704.829743,worker-cb7c6c4c5130033fdb68942b826bc325,57,1716494694.99212,1716494694.992551,0.000431,4.291534423828125e-05,1716494694.992658,1716494704.825279,0.001632,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
21,1716494676.660486,1716497279.190863,1716497286.691652,1716497286.695959,1716497286.696046,worker-cb7c6c4c5130033fdb68942b826bc325,43,1716497279.190374,1716497279.190837,0.000463,4.291534423828125e-05,1716497279.190904,1716497286.685024,0.001878,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
22,1716494676.661656,1716497260.192904,1716497264.847427,1716497265.272905,1716497265.272998,worker-cb7c6c4c5130033fdb68942b826bc325,10,1716497260.192359,1716497260.192872,0.000513,4.291534423828125e-05,1716497260.192934,1716497264.524471,0.140438,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
23,1716494676.662657,1716497907.679953,1716497916.071595,1716497916.078108,1716497916.078174,worker-cb7c6c4c5130033fdb68942b826bc325,18,1716497907.679474,1716497907.679925,0.000451,4.291534423828125e-05,1716497907.680012,1716497916.058344,0.001303,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
24,1716494676.663606,1716498080.934745,1716498090.082881,1716498090.089614,1716498090.089687,worker-cb7c6c4c5130033fdb68942b826bc325,59,1716498080.934265,1716498080.93472,0.000455,4.291534423828125e-05,1716498080.935577,1716498090.079987,0.001548,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
25,1716494676.664621,1716494704.830679,1716494714.850952,1716494714.854919,1716494714.854983,worker-cb7c6c4c5130033fdb68942b826bc325,57,1716494704.830165,1716494704.830649,0.000484,4.291534423828125e-05,1716494704.830738,1716494714.84976,0.001571,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
26,1716494676.665836,1716497242.530463,1716497243.801942,1716497244.036825,1716497244.036965,worker-cb7c6c4c5130033fdb68942b826bc325,1,1716497242.529749,1716497242.530352,0.000603,4.291534423828125e-05,1716497242.530605,1716497243.801694,0.11793,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
27,1716494676.666834,1716497907.947139,1716497916.445299,1716497916.454127,1716497916.454194,worker-cb7c6c4c5130033fdb68942b826bc325,50,1716497907.946625,1716497907.947113,0.000488,4.291534423828125e-05,1716497907.9472,1716497916.444592,0.001441,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
28,1716494676.667924,1716494729.548229,1716494739.64764,1716494739.651167,1716494739.651319,worker-cb7c6c4c5130033fdb68942b826bc325,23,1716494729.547735,1716494729.548203,0.000468,4.291534423828125e-05,1716494729.548286,1716494739.646549,0.001416,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
29,1716494676.668768,1716497844.85307,1716497855.513071,1716497855.518072,1716497855.518157,worker-cb7c6c4c5130033fdb68942b826bc325,58,1716497844.852211,1716497844.853039,0.000828,4.291534423828125e-05,1716497844.853107,1716497855.512212,0.001398,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
30,1716494676.670119,1716497907.576238,1716497916.25453,1716497916.278537,1716497916.278605,worker-cb7c6c4c5130033fdb68942b826bc325,55,1716497907.575706,1716497907.576209,0.000503,4.291534423828125e-05,1716497907.576296,1716497916.21363,0.010502,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
31,1716494676.670914,1716498062.754189,1716498071.99983,1716498072.00526,1716498072.005315,worker-cb7c6c4c5130033fdb68942b826bc325,55,1716498062.753711,1716498062.754163,0.000452,4.291534423828125e-05,1716498062.7575,1716498071.999252,0.001502,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
32,1716494676.671999,1716498079.950136,1716498088.230909,1716498088.24426,1716498088.244338,worker-cb7c6c4c5130033fdb68942b826bc325,10,1716498079.949601,1716498079.950108,0.000507,4.291534423828125e-05,1716498079.950193,1716498088.229822,0.00199,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
33,1716494676.673172,1716498022.023186,1716498030.167154,1716498030.171535,1716498030.17159,worker-cb7c6c4c5130033fdb68942b826bc325,54,1716498022.022685,1716498022.023158,0.000473,4.291534423828125e-05,1716498022.02324,1716498030.16498,0.001497,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
