hostname,Condor_Version,Condor_Build_ID,cpu_frequency,cpu_model,CpuCacheSize,DetectedCpus,DetectedMemory,Disk,eth_link_speed,glibc_version,has_afs,has_avx,has_scratch365,has_singularity,has_sse4_1,has_sse4_2,has_ssse3,has_vast,HasFileTransfer,HasJICLocalConfig,HasJobDeferral,HasMPI,HasTDP,HasTransferInputRemaps,HasVM,JavaMFlops,JobPreemptions,JobRankPreemptions,KFlops,Mips,OpSysLongName,has_avx2
camd01.crc.nd.edu,8.8.14,550418,2.20GHz,Intel(R) Xeon(R) CPU E5-2660 0,20480,16,63853,427679416,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1467.282593,1,0,1599846,21705,Red Hat Enterprise Linux release 8.9 (Ootpa),
d12chas349.crc.nd.edu,8.8.14,550418,2.50GHz,Intel(R) Xeon(R) CPU E5-2680 v3,15360,24,256707,1349362056,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1883.31311,0,0,1760055,26182,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d8civy004.crc.nd.edu,8.8.14,550418,2.60GHz,Intel(R) Xeon(R) CPU E5-2650 v2,20480,16,31845,448450907,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1738.825317,0,0,1680436,24633,Red Hat Enterprise Linux release 8.9 (Ootpa),
d32cepyc095.crc.nd.edu,8.8.14,550418,unknown,,512,64,256875,890257484,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,3143.151611,0,0,5432148,29628,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d12chas022.crc.nd.edu,8.8.14,550418,2.50GHz,Intel(R) Xeon(R) CPU E5-2680 v3,15360,24,63427,942258668,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1870.202271,0,0,1712043,25960,Red Hat Enterprise Linux release 8.9 (Ootpa),true
qa-2080ti-003.crc.nd.edu,8.8.14,550418,2.10GHz,Intel(R) Xeon(R) Silver 4110 CPU,11264,32,95769,3820979720,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1534.57251,0,0,1690127,25044,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d32cepyc125.crc.nd.edu,8.8.14,550418,unknown,,512,64,256876,898072556,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,3035.793945,0,0,5429415,30524,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d32cepyc144.crc.nd.edu,8.8.14,550418,unknown,,512,64,256876,904880736,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,2996.919678,0,0,5460035,30679,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d12chas345.crc.nd.edu,8.8.14,550418,2.50GHz,Intel(R) Xeon(R) CPU E5-2680 v3,15360,24,256707,1350611692,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1863.549438,0,0,1731741,26350,Red Hat Enterprise Linux release 8.9 (Ootpa),true
sa-rtx6ka-001.crc.nd.edu,8.8.14,550418,2.30GHz,Intel(R) Xeon(R) Silver 4316 CPU,30720,40,257059,878841415,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,2272.909424,0,0,1876653,29887,Red Hat Enterprise Linux release 8.9 (Ootpa),true
